Data Type,Size,Time,Memory Usage
sorted,500,negligible,10.796875
sorted,750,negligible,16.234375
sorted,1000,0.0039999999999054126,22.65625
sorted,2500,0.003749999999854481,64.484375
sorted,5000,0.015750000000480213,129.40625
sorted,7500,0.023500000000240107,200.265625
sorted,10000,0.03125,264.90625
sorted,12000,0.042999999999665306,323.59375
reverse,500,negligible,10.796875
reverse,750,0.003749999999854481,16.234375
reverse,1000,negligible,22.65625
reverse,2500,0.007749999999759893,64.484375
reverse,5000,0.0117500000005748,129.40625
reverse,7500,0.02750000000014552,200.265625
reverse,10000,0.03499999999985448,264.90625
reverse,12000,0.039249999999810825,323.59375
almost_sorted,500,negligible,10.796875
almost_sorted,750,0.003749999999854481,16.140625
almost_sorted,1000,negligible,23.34375
almost_sorted,2500,0.007749999999759893,63.515625
almost_sorted,5000,0.015750000000480213,129.40625
almost_sorted,7500,0.023500000000240107,200.265625
almost_sorted,10000,0.03125,266.5625
almost_sorted,12000,0.03899999999975989,321.84375
reverse,500,0.0039999999999054126,10.796875
reverse,750,negligible,16.234375
reverse,1000,negligible,22.65625
reverse,2500,0.007749999999759893,64.484375
reverse,5000,0.015500000000429281,129.40625
reverse,7500,0.023500000000240107,200.265625
reverse,10000,0.03125,264.90625
reverse,12000,0.03899999999975989,323.59375
unique,500,negligible,10.796875
unique,750,0.0039999999999054126,16.234375
unique,1000,negligible,22.65625
unique,2500,0.0039999999999054126,64.484375
unique,5000,0.015500000000429281,129.40625
unique,7500,0.023499999999330612,200.265625
unique,10000,0.03499999999985448,264.90625
unique,12000,0.03925000000072032,323.59375
nonunique,500,negligible,9.171875
nonunique,750,negligible,13.390625
nonunique,1000,0.003749999999854481,17.484375
nonunique,2500,0.0039999999999054126,47.6171875
nonunique,5000,0.007749999999759893,101.390625
nonunique,7500,0.019500000000334694,152.6953125
nonunique,10000,0.023500000000240107,200.8125
nonunique,12000,0.03524999999990541,244.9375
float,500,negligible,8.052734375
float,750,negligible,11.880859375
float,1000,negligible,16.490234375
float,2500,0.003749999999854481,39.615234375
float,5000,0.0039999999999054126,79.990234375
float,7500,0.0039999999999054126,124.271484375
float,10000,0.007749999999759893,161.333984375
float,12000,0.007750000000669388,199.146484375
negative,500,0.0039999999999054126,9.349609375
negative,750,negligible,14.248046875
negative,1000,negligible,20.091796875
negative,2500,0.003749999999854481,60.162109375
negative,5000,0.011749999999665306,126.216796875
negative,7500,0.019500000000334694,195.130859375
negative,10000,0.023500000000240107,265.123046875
negative,12000,0.03125,299.130859375
