Data Type,Size,Time,Memory Usage
sorted,500,0.007749999999759893,0.24609375
sorted,750,0.0117500000005748,0.30859375
sorted,1000,0.0194999999994252,0.30859375
sorted,2500,0.0625,0.43359375
sorted,5000,0.1445000000003347,0.49609375
sorted,7500,0.2654999999995198,0.49609375
sorted,10000,0.3595000000004802,0.55859375
sorted,12000,0.4414999999999054,0.55859375
reverse,500,0.007749999999759893,0.24609375
reverse,750,0.0117500000005748,0.30859375
reverse,1000,0.015499999999519787,0.30859375
reverse,2500,0.05875000000014552,0.43359375
reverse,5000,0.14050000000042928,0.49609375
reverse,7500,0.23449999999957072,0.49609375
reverse,10000,0.3320000000003347,0.55859375
reverse,12000,0.4139999999997599,0.55859375
almost_sorted,500,0.007749999999759893,0.24609375
almost_sorted,750,0.0117500000005748,0.30859375
almost_sorted,1000,0.0194999999994252,0.30859375
almost_sorted,2500,0.0625,0.43359375
almost_sorted,5000,0.15625,0.49609375
almost_sorted,7500,0.2422500000002401,0.49609375
almost_sorted,10000,0.3632500000003347,0.55859375
almost_sorted,12000,0.40625,0.55859375
reverse,500,0.007749999999759893,0.24609375
reverse,750,0.011749999999665306,0.30859375
reverse,1000,0.019500000000334694,0.30859375
reverse,2500,0.06649999999990541,0.43359375
reverse,5000,0.1404999999995198,0.49609375
reverse,7500,0.2110000000002401,0.49609375
reverse,10000,0.3514999999997599,0.55859375
reverse,12000,0.4297500000002401,0.55859375
unique,500,0.0039999999999054126,0.24609375
unique,750,0.0117500000005748,0.30859375
unique,1000,0.0194999999994252,0.30859375
unique,2500,0.05850000000009459,0.43359375
unique,5000,0.1485000000002401,0.49609375
unique,7500,0.2342499999995198,0.49609375
unique,10000,0.3595000000004802,0.55859375
unique,12000,0.4414999999999054,0.55859375
nonunique,500,0.007749999999759893,0.24609375
nonunique,750,0.0117500000005748,0.30859375
nonunique,1000,0.0194999999994252,0.30859375
nonunique,2500,0.0625,0.43359375
nonunique,5000,0.1445000000003347,0.49609375
nonunique,7500,0.2304999999996653,0.49609375
nonunique,10000,0.3592500000004293,0.55859375
nonunique,12000,0.4219999999995707,0.55859375
float,500,0.007750000000669388,0.24609375
float,750,0.011749999999665306,0.30859375
float,1000,0.019500000000334694,0.30859375
float,2500,0.0625,0.43359375
float,5000,0.1522499999991851,0.49609375
float,7500,0.2305000000005748,0.49609375
float,10000,0.3517499999998108,0.55859375
float,12000,0.4257500000003347,0.55859375
negative,500,0.003749999999854481,0.24609375
negative,750,0.011749999999665306,0.30859375
negative,1000,0.019500000000334694,0.30859375
negative,2500,0.0625,0.43359375
negative,5000,0.1367499999996653,0.49609375
negative,7500,0.2382500000003347,0.49609375
negative,10000,0.3164999999999054,0.55859375
negative,12000,0.4335000000000946,0.55859375
