Data Type,Size,Time,Memory Usage
sorted,500,negligible,0.15234375
sorted,750,0.003749999999854481,0.15234375
sorted,1000,negligible,0.15234375
sorted,2500,0.008000000000038199,0.15234375
sorted,5000,0.011500000000069122,0.15234375
sorted,7500,0.01974999999993088,0.15234375
sorted,10000,0.03125,0.15234375
sorted,12000,0.03899999999998727,0.15234375
reverse,500,negligible,0.15234375
reverse,750,negligible,0.15234375
reverse,1000,0.0037500000000818545,0.15234375
reverse,2500,0.008000000000038199,0.15234375
reverse,5000,0.015499999999974534,0.15234375
reverse,7500,0.027499999999918145,0.15234375
reverse,10000,0.035000000000081855,0.15234375
reverse,12000,0.03899999999998727,0.15234375
almost_sorted,500,negligible,0.15234375
almost_sorted,750,negligible,0.15234375
almost_sorted,1000,0.0039999999999054126,0.15234375
almost_sorted,2500,0.007749999999987267,0.15234375
almost_sorted,5000,0.011750000000120053,0.15234375
almost_sorted,7500,0.023500000000012733,0.15234375
almost_sorted,10000,0.027249999999867214,0.15234375
almost_sorted,12000,0.0392500000000382,0.15234375
reverse,500,negligible,0.15234375
reverse,750,0.0037500000000818545,0.15234375
reverse,1000,0.0039999999999054126,0.15234375
reverse,2500,0.0037500000000818545,0.15234375
reverse,5000,0.015750000000025466,0.15234375
reverse,7500,0.019499999999879947,0.15234375
reverse,10000,0.023500000000012733,0.15234375
reverse,12000,0.03899999999998727,0.15234375
unique,500,negligible,0.15234375
unique,750,negligible,0.15234375
unique,1000,0.004000000000132786,0.15234375
unique,2500,0.007749999999987267,0.15234375
unique,5000,0.015499999999974534,0.15234375
unique,7500,0.023500000000012733,0.15234375
unique,10000,0.03125,0.15234375
unique,12000,0.03899999999998727,0.15234375
nonunique,500,0.0039999999999054126,0.15234375
nonunique,750,negligible,0.15234375
nonunique,1000,negligible,0.15234375
nonunique,2500,0.007749999999987267,0.15234375
nonunique,5000,0.015750000000025466,0.15234375
nonunique,7500,0.01950000000010732,0.15234375
nonunique,10000,0.03125,0.15234375
nonunique,12000,0.04299999999989268,0.15234375
float,500,negligible,0.15234375
float,750,negligible,0.15234375
float,1000,0.0037500000000818545,0.15234375
float,2500,0.008000000000038199,0.15234375
float,5000,0.015499999999974534,0.15234375
float,7500,0.023500000000012733,0.15234375
float,10000,0.03524999999990541,0.15234375
float,12000,0.03899999999998727,0.15234375
negative,500,negligible,0.15234375
negative,750,negligible,0.15234375
negative,1000,0.0037500000000818545,0.15234375
negative,2500,0.008000000000038199,0.15234375
negative,5000,0.015499999999974534,0.15234375
negative,7500,0.023500000000012733,0.15234375
negative,10000,0.03125,0.15234375
negative,12000,0.05475000000001273,0.15234375
