Data Type,Size,Time,Memory Usage
sorted,500,0.007999999999810825,4.41796875
sorted,750,0.015500000000429281,6.37109375
sorted,1000,0.023499999999330612,8.35546875
sorted,2500,0.0860000000002401,20.13671875
sorted,5000,0.20300000000042928,39.66796875
sorted,7500,0.3202499999997599,59.19921875
sorted,10000,0.4142499999998108,78.73046875
sorted,12000,0.6014999999997599,94.35546875
reverse,500,0.007750000000669388,4.41796875
reverse,750,0.01574999999957072,6.37109375
reverse,1000,0.023250000000189175,8.41796875
reverse,2500,0.0819999999994252,20.13671875
reverse,5000,0.1915000000008149,39.66796875
reverse,7500,0.2852499999999054,59.19921875
reverse,10000,0.5232499999992797,78.73046875
reverse,12000,0.6055000000005748,94.35546875
almost_sorted,500,0.007999999999810825,4.41796875
almost_sorted,750,0.015500000000429281,6.37109375
almost_sorted,1000,0.023499999999330612,8.35546875
almost_sorted,2500,0.08975000000009459,20.13671875
almost_sorted,5000,0.2032500000004802,39.66796875
almost_sorted,7500,0.3007499999994252,59.19921875
almost_sorted,10000,0.4297500000002401,78.73046875
almost_sorted,12000,0.6327499999997599,94.35546875
reverse,500,0.007750000000669388,4.41796875
reverse,750,0.0194999999994252,6.37109375
reverse,1000,0.02750000000014552,8.41796875
reverse,2500,0.08975000000009459,20.13671875
reverse,5000,0.1992499999996653,39.66796875
reverse,7500,0.3085000000000946,59.19921875
reverse,10000,0.4882500000003347,78.73046875
reverse,12000,0.6172500000002401,94.35546875
unique,500,0.007749999999759893,4.41796875
unique,750,0.023500000000240107,6.37109375
unique,1000,0.023499999999330612,8.35546875
unique,2500,0.09375,20.13671875
unique,5000,0.1757500000003347,39.66796875
unique,7500,0.3125,59.19921875
unique,10000,0.4217499999995198,78.73046875
unique,12000,0.6367500000005748,94.35546875
nonunique,500,0.0039999999999054126,4.44921875
nonunique,750,0.015499999999519787,6.40234375
nonunique,1000,0.019750000000385626,8.35546875
nonunique,2500,0.08975000000009459,20.13671875
nonunique,5000,0.1914999999999054,39.66796875
nonunique,7500,0.3202499999997599,59.19921875
nonunique,10000,0.4297500000002401,78.73046875
nonunique,12000,0.4802499999996144,94.35546875
float,500,negligible,0.046875
float,750,negligible,0.046875
float,1000,negligible,0.046875
float,2500,negligible,0.046875
float,5000,negligible,0.046875
float,7500,negligible,0.046875
float,10000,negligible,0.046875
float,12000,negligible,0.046875
negative,500,negligible,0.046875
negative,750,0.0117500000005748,6.37109375
negative,1000,negligible,0.046875
negative,2500,0.0742499999996653,20.13671875
negative,5000,0.1602499999999054,39.66796875
negative,7500,0.3555000000005748,59.19921875
negative,10000,0.5194999999994252,78.73046875
negative,12000,0.4335000000000946,94.35546875
