Data Type,Size,Time,Memory Usage
sorted,500,negligible,3.9765625
sorted,750,negligible,5.9296875
sorted,1000,negligible,7.8828125
sorted,2500,negligible,19.6015625
sorted,5000,negligible,39.1328125
sorted,7500,negligible,58.6640625
sorted,10000,negligible,78.1953125
sorted,12000,negligible,93.8203125
reverse,500,negligible,3.9765625
reverse,750,negligible,5.9296875
reverse,1000,negligible,7.8828125
reverse,2500,negligible,19.6015625
reverse,5000,negligible,39.1328125
reverse,7500,negligible,58.6640625
reverse,10000,negligible,78.1953125
reverse,12000,negligible,93.8203125
almost_sorted,500,negligible,3.9765625
almost_sorted,750,negligible,5.9296875
almost_sorted,1000,negligible,7.8828125
almost_sorted,2500,negligible,19.6015625
almost_sorted,5000,negligible,39.1328125
almost_sorted,7500,negligible,58.6640625
almost_sorted,10000,negligible,78.1953125
almost_sorted,12000,negligible,93.8203125
reverse,500,negligible,3.9765625
reverse,750,negligible,5.9296875
reverse,1000,negligible,7.8828125
reverse,2500,negligible,19.6015625
reverse,5000,negligible,39.1328125
reverse,7500,negligible,58.6640625
reverse,10000,negligible,78.1953125
reverse,12000,negligible,93.8203125
unique,500,negligible,3.9765625
unique,750,negligible,5.9296875
unique,1000,negligible,7.8828125
unique,2500,negligible,19.6015625
unique,5000,negligible,39.1328125
unique,7500,negligible,58.6640625
unique,10000,negligible,78.1953125
unique,12000,0.003749999999854481,93.8203125
nonunique,500,negligible,3.9765625
nonunique,750,negligible,5.9296875
nonunique,1000,negligible,7.8828125
nonunique,2500,negligible,19.6015625
nonunique,5000,negligible,39.1328125
nonunique,7500,negligible,58.6640625
nonunique,10000,negligible,78.1953125
nonunique,12000,negligible,93.8203125
float,500,negligible,3.9765625
float,750,negligible,5.9296875
float,1000,negligible,7.8828125
float,2500,negligible,19.6015625
float,5000,negligible,39.1328125
float,7500,negligible,58.6640625
float,10000,negligible,78.1953125
float,12000,negligible,93.8203125
negative,500,negligible,3.9765625
negative,750,negligible,8.8515625
negative,1000,negligible,7.8828125
negative,2500,negligible,29.2578125
negative,5000,negligible,58.5078125
negative,7500,negligible,58.6640625
negative,10000,negligible,88.6015625
negative,12000,0.0039999999999054126,140.53125
