Data Type,Size,Time,Memory Usage
sorted,50,negligible,0.109375
sorted,75,negligible,0.109375
sorted,100,negligible,0.109375
sorted,200,negligible,0.109375
sorted,300,0.0026666666666036085,0.24609375
sorted,400,0.012999999999919964,0.24609375
sorted,500,0.03383333333355646,0.24609375
sorted,600,0.05983333333309323,0.27734375
sorted,700,0.09633333333355647,0.27734375
sorted,750,0.11716666666658664,0.27734375
reverse,50,negligible,0.109375
reverse,75,negligible,0.109375
reverse,100,negligible,0.109375
reverse,200,0.0026666666666036085,0.109375
reverse,300,0.0051666666668097605,0.24609375
reverse,400,0.01566666666652357,0.24609375
reverse,500,0.03900000000006306,0.24609375
reverse,600,0.07300000000001698,0.27734375
reverse,700,0.1223333333333964,0.27734375
reverse,750,0.14066666666652358,0.27734375
almost_sorted,50,negligible,0.109375
almost_sorted,75,negligible,0.109375
almost_sorted,100,negligible,0.109375
almost_sorted,200,0.0026666666666036085,0.109375
almost_sorted,300,0.0051666666668097605,0.24609375
almost_sorted,400,0.012999999999919964,0.24609375
almost_sorted,500,0.03133333333335031,0.24609375
almost_sorted,600,0.057166666666792786,0.27734375
almost_sorted,700,0.09383333333335031,0.27734375
almost_sorted,750,0.127499999999903,0.27734375
unique,50,0.0026666666666036085,0.109375
unique,75,negligible,0.109375
unique,100,negligible,0.109375
unique,200,negligible,0.109375
unique,300,0.0051666666668097605,0.24609375
unique,400,0.018333333333127182,0.24609375
unique,500,0.057166666666792786,0.24609375
unique,600,0.08866666666654055,0.27734375
unique,700,0.1171666666668898,0.27734375
unique,750,0.14316666666642655,0.27734375
nonunique,50,negligible,0.109375
nonunique,75,negligible,0.109375
nonunique,100,negligible,0.109375
nonunique,200,negligible,0.109375
nonunique,300,0.0051666666668097605,0.24609375
nonunique,400,0.018333333333430346,0.24609375
nonunique,500,0.041666666666666664,0.24609375
nonunique,600,0.0703333333331102,0.27734375
nonunique,700,0.125,0.27734375
nonunique,750,0.14316666666672972,0.27734375
float,50,negligible,0.109375
float,75,negligible,0.109375
float,100,0.0026666666666036085,0.109375
float,200,negligible,0.109375
float,300,0.0051666666668097605,0.24609375
float,400,0.018166666666729725,0.24609375
float,500,0.041666666666666664,0.24609375
float,600,0.07549999999991996,0.27734375
float,700,0.11983333333319024,0.27734375
float,750,0.1510000000001431,0.27734375
negative,50,negligible,0.109375
negative,75,negligible,0.109375
negative,100,negligible,0.109375
negative,200,0.0026666666666036085,0.109375
negative,300,0.0026666666666036085,0.24609375
negative,400,0.018166666666729725,0.24609375
negative,500,0.041666666666666664,0.24609375
negative,600,0.07549999999991996,0.27734375
negative,700,0.1171666666668898,0.27734375
negative,750,0.15116666666654055,0.27734375
