Data Type,Size,Time,Memory Usage
sorted,50,negligible,0.7890625
sorted,75,negligible,1.1875
sorted,100,negligible,1.5703125
sorted,200,negligible,3.1328125
sorted,300,0.0024999999999029874,4.703125
sorted,400,negligible,6.2578125
sorted,500,0.002666666666906773,7.8125
sorted,600,0.0024999999999029874,9.421875
sorted,700,0.005333333333207217,10.9765625
sorted,750,0.002500000000206152,11.7578125
reverse,50,negligible,0.7890625
reverse,75,negligible,1.1875
reverse,100,negligible,1.5703125
reverse,200,0.0026666666666036085,3.1328125
reverse,300,negligible,4.703125
reverse,400,negligible,6.2578125
reverse,500,0.0026666666666036085,7.8125
reverse,600,0.0024999999999029874,9.421875
reverse,700,0.0051666666668097605,10.9765625
reverse,750,0.0026666666666036085,11.7578125
almost_sorted,50,negligible,0.7890625
almost_sorted,75,negligible,1.1875
almost_sorted,100,negligible,1.5703125
almost_sorted,200,0.0026666666666036085,3.1328125
almost_sorted,300,negligible,4.703125
almost_sorted,400,negligible,6.2578125
almost_sorted,500,0.002500000000206152,7.8125
almost_sorted,600,0.005333333333207217,9.421875
almost_sorted,700,negligible,10.9765625
almost_sorted,750,0.0051666666668097605,11.7578125
unique,50,negligible,0.7890625
unique,75,negligible,1.1875
unique,100,negligible,1.5703125
unique,200,0.0024999999999029874,3.1328125
unique,300,negligible,4.703125
unique,400,0.0026666666666036085,6.2578125
unique,500,negligible,7.8125
unique,600,0.0026666666666036085,9.421875
unique,700,0.002500000000206152,10.9765625
unique,750,0.005333333333207217,11.7578125
nonunique,50,negligible,0.7890625
nonunique,75,negligible,1.1875
nonunique,100,negligible,1.5703125
nonunique,200,negligible,3.1328125
nonunique,300,negligible,4.703125
nonunique,400,0.0024999999999029874,6.2578125
nonunique,500,0.002666666666906773,7.8125
nonunique,600,0.0024999999999029874,9.421875
nonunique,700,0.0026666666666036085,10.9765625
nonunique,750,0.0051666666668097605,11.7578125
float,50,negligible,0.7890625
float,75,negligible,1.1875
float,100,negligible,1.5703125
float,200,negligible,3.1328125
float,300,negligible,4.703125
float,400,0.0026666666666036085,6.2578125
float,500,negligible,7.8125
float,600,0.0026666666666036085,9.421875
float,700,0.0051666666668097605,10.9765625
float,750,0.0024999999999029874,11.7578125
negative,50,negligible,0.7890625
negative,75,negligible,1.1875
negative,100,negligible,1.5703125
negative,200,0.0026666666666036085,3.1328125
negative,300,negligible,4.703125
negative,400,negligible,6.2578125
negative,500,0.0026666666666036085,7.8125
negative,600,0.002500000000206152,9.421875
negative,700,0.0026666666666036085,10.9765625
negative,750,0.0026666666666036085,11.7578125
