Data Type,Size,Time,Memory Usage
sorted,50,negligible,0.0859375
sorted,75,negligible,0.0859375
sorted,100,negligible,0.0859375
sorted,200,0.0051666666668097605,0.0859375
sorted,300,0.005333333333207217,0.1875
sorted,400,0.023333333333539485,0.1875
sorted,500,0.052166666666683646,0.1875
sorted,600,0.09116666666644353,0.1875
sorted,700,0.1536666666667467,0.1875
sorted,750,0.1821666666667928,0.1875
reverse,50,negligible,0.0859375
reverse,75,0.0026666666666036085,0.0859375
reverse,100,negligible,0.0859375
reverse,200,0.0026666666666036085,0.0859375
reverse,300,0.0076666666667127474,0.1875
reverse,400,0.02616666666654055,0.1875
reverse,500,0.054666666666889796,0.1875
reverse,600,0.08849999999983993,0.1875
reverse,700,0.14066666666682673,0.1875
reverse,750,0.20833333333333334,0.1875
almost_sorted,50,negligible,0.0859375
almost_sorted,75,negligible,0.0859375
almost_sorted,100,negligible,0.0859375
almost_sorted,200,0.005166666666506596,0.0859375
almost_sorted,300,0.00783333333341337,0.1875
almost_sorted,400,0.02599999999983993,0.1875
almost_sorted,500,0.049500000000080036,0.1875
almost_sorted,600,0.10416666666666667,0.1875
almost_sorted,700,0.16933333333327028,0.1875
almost_sorted,750,0.19533333333341338,0.1875
unique,50,negligible,0.0859375
unique,75,negligible,0.0859375
unique,100,0.0024999999999029874,0.0859375
unique,200,0.0051666666668097605,0.0859375
unique,300,0.010500000000016977,0.1875
unique,400,0.03116666666664969,0.1875
unique,500,0.06783333333320722,0.1875
unique,600,0.11966666666679278,0.1875
unique,700,0.17716666666668365,0.1875
unique,750,0.20833333333333334,0.1875
nonunique,50,negligible,0.14713541666666666
nonunique,75,negligible,0.140625
nonunique,100,negligible,0.140625
nonunique,200,0.0026666666666036085,0.140625
nonunique,300,0.0051666666668097605,0.546875
nonunique,400,0.010333333333316356,0.6875
nonunique,500,0.02616666666654055,0.6875
nonunique,600,0.03900000000006306,0.796875
nonunique,700,0.0625,0.796875
nonunique,750,0.07283333333331636,0.609375
float,50,negligible,0.0859375
float,75,negligible,0.0859375
float,100,0.0026666666666036085,0.0859375
float,200,0.0026666666666036085,0.0859375
float,300,0.00783333333341337,0.1875
float,400,0.026000000000143093,0.1875
float,500,0.06499999999990298,0.1875
float,600,0.10683333333327028,0.1875
float,700,0.19016666666660362,0.1875
float,750,0.23433333333347642,0.1875
negative,50,negligible,0.0859375
negative,75,negligible,0.0859375
negative,100,0.0026666666666036085,0.0859375
negative,200,negligible,0.0859375
negative,300,0.0076666666667127474,0.1875
negative,400,0.023499999999936943,0.1875
negative,500,0.05983333333339639,0.1875
negative,600,0.10166666666676367,0.1875
negative,700,0.24216666666658662,0.1875
negative,750,0.20833333333333334,0.1875
