Data Type,Size,Time,Memory Usage
sorted,50,negligible,0.546875
sorted,75,negligible,0.7421875
sorted,100,0.0026666666666036085,0.9375
sorted,200,negligible,1.71875
sorted,300,negligible,2.85546875
sorted,400,0.0051666666668097605,3.63671875
sorted,500,0.0026666666666036085,4.41796875
sorted,600,0.00783333333341337,5.19921875
sorted,700,0.007833333333110204,5.98046875
sorted,750,0.00783333333341337,6.37109375
reverse,50,negligible,0.546875
reverse,75,negligible,0.7421875
reverse,100,negligible,0.9375
reverse,200,0.0024999999999029874,1.71875
reverse,300,negligible,2.85546875
reverse,400,0.002666666666906773,3.63671875
reverse,500,0.005166666666506596,4.41796875
reverse,600,0.00783333333341337,5.19921875
reverse,700,0.010333333333316356,5.98046875
reverse,750,0.010500000000016977,6.37109375
almost_sorted,50,negligible,0.546875
almost_sorted,75,negligible,0.7421875
almost_sorted,100,negligible,0.9375
almost_sorted,200,negligible,1.71875
almost_sorted,300,0.0026666666666036085,2.85546875
almost_sorted,400,0.0024999999999029874,3.63671875
almost_sorted,500,0.0051666666668097605,4.41796875
almost_sorted,600,0.00783333333341337,5.19921875
almost_sorted,700,0.010500000000016977,5.98046875
almost_sorted,750,0.010333333333316356,6.37109375
unique,50,negligible,0.546875
unique,75,negligible,0.7421875
unique,100,negligible,0.9375
unique,200,negligible,1.71875
unique,300,negligible,2.85546875
unique,400,0.005333333333207217,3.63671875
unique,500,0.0051666666668097605,4.41796875
unique,600,0.007833333333110204,5.19921875
unique,700,0.00783333333341337,5.98046875
unique,750,0.010333333333316356,6.37109375
nonunique,50,negligible,0.546875
nonunique,75,negligible,0.7421875
nonunique,100,negligible,0.9375
nonunique,200,negligible,1.71875
nonunique,300,0.0026666666666036085,2.88671875
nonunique,400,0.002500000000206152,3.66796875
nonunique,500,0.005333333333207217,4.44921875
nonunique,600,0.0051666666668097605,5.23046875
nonunique,700,0.007833333333110204,6.01171875
nonunique,750,0.010333333333316356,6.40234375
float,50,negligible,0.046875
float,75,negligible,0.046875
float,100,negligible,0.046875
float,200,negligible,0.046875
float,300,negligible,0.046875
float,400,negligible,0.046875
float,500,negligible,0.046875
float,600,negligible,0.046875
float,700,negligible,0.046875
float,750,negligible,0.046875
negative,50,negligible,0.046875
negative,75,negligible,0.046875
negative,100,negligible,0.046875
negative,200,0.002666666666906773,1.75
negative,300,negligible,2.6940104166666665
negative,400,negligible,0.046875
negative,500,0.0024999999999029874,4.350260416666667
negative,600,negligible,0.046875
negative,700,negligible,0.046875
negative,750,0.010500000000016977,6.365885416666667
