Data Type,Size,Time,Memory Usage
sorted,50,negligible,0.109375
sorted,75,0.0024999999999029874,0.109375
sorted,100,negligible,0.109375
sorted,200,negligible,0.109375
sorted,300,0.00783333333341337,0.23046875
sorted,400,0.028666666666746703,0.23046875
sorted,500,0.044333333333270275,0.23046875
sorted,600,0.08066666666672972,0.27734375
sorted,700,0.10683333333327028,0.27734375
sorted,750,0.11966666666679278,0.27734375
reverse,50,negligible,0.109375
reverse,75,negligible,0.109375
reverse,100,negligible,0.109375
reverse,200,negligible,0.109375
reverse,300,0.007833333333110204,0.23046875
reverse,400,0.026000000000143093,0.23046875
reverse,500,0.044333333333270275,0.23046875
reverse,600,0.07300000000001698,0.27734375
reverse,700,0.11183333333337941,0.27734375
reverse,750,0.11983333333319024,0.27734375
almost_sorted,50,negligible,0.109375
almost_sorted,75,negligible,0.109375
almost_sorted,100,negligible,0.109375
almost_sorted,200,negligible,0.109375
almost_sorted,300,0.00783333333341337,0.23046875
almost_sorted,400,0.026000000000143093,0.23046875
almost_sorted,500,0.044333333333270275,0.23046875
almost_sorted,600,0.0676666666665066,0.27734375
almost_sorted,700,0.10683333333357344,0.27734375
almost_sorted,750,0.11449999999998302,0.27734375
unique,50,negligible,0.109375
unique,75,negligible,0.109375
unique,100,0.0026666666666036085,0.109375
unique,200,negligible,0.109375
unique,300,0.00783333333341337,0.23046875
unique,400,0.02333333333323632,0.23046875
unique,500,0.049500000000080036,0.23046875
unique,600,0.0703333333331102,0.27734375
unique,700,0.09900000000016007,0.27734375
unique,750,0.11716666666658664,0.27734375
nonunique,50,negligible,0.109375
nonunique,75,negligible,0.109375
nonunique,100,negligible,0.109375
nonunique,200,0.0026666666666036085,0.109375
nonunique,300,0.00783333333341337,0.23046875
nonunique,400,0.02333333333323632,0.23046875
nonunique,500,0.04433333333357344,0.23046875
nonunique,600,0.07283333333331636,0.27734375
nonunique,700,0.10166666666646051,0.27734375
nonunique,750,0.1223333333333964,0.27734375
float,50,negligible,0.109375
float,75,negligible,0.109375
float,100,negligible,0.109375
float,200,negligible,0.109375
float,300,0.00783333333341337,0.23046875
float,400,0.02599999999983993,0.23046875
float,500,0.046833333333476425,0.23046875
float,600,0.07816666666652357,0.27734375
float,700,0.10166666666676367,0.27734375
float,750,0.11966666666679278,0.27734375
negative,50,negligible,0.109375
negative,75,negligible,0.109375
negative,100,negligible,0.109375
negative,200,negligible,0.109375
negative,300,0.007833333333110204,0.23046875
negative,400,0.026000000000143093,0.23046875
negative,500,0.046999999999873886,0.23046875
negative,600,0.07033333333341336,0.27734375
negative,700,0.10666666666656965,0.27734375
negative,750,0.12250000000009702,0.27734375
