Data Type,Size,Time,Memory Usage
sorted,50,negligible,0.4609375
sorted,75,negligible,0.6640625
sorted,100,negligible,0.8515625
sorted,200,negligible,1.6328125
sorted,300,negligible,2.4140625
sorted,400,negligible,3.1953125
sorted,500,negligible,3.9765625
sorted,600,negligible,4.7578125
sorted,700,negligible,5.5390625
sorted,750,negligible,5.9296875
reverse,50,negligible,0.4609375
reverse,75,negligible,0.6640625
reverse,100,negligible,0.8515625
reverse,200,negligible,1.6328125
reverse,300,negligible,2.4140625
reverse,400,negligible,3.1953125
reverse,500,negligible,3.9765625
reverse,600,negligible,4.7578125
reverse,700,negligible,5.5390625
reverse,750,negligible,5.9296875
almost_sorted,50,negligible,0.4609375
almost_sorted,75,negligible,0.6640625
almost_sorted,100,negligible,0.8515625
almost_sorted,200,negligible,1.6328125
almost_sorted,300,negligible,2.4140625
almost_sorted,400,negligible,3.1953125
almost_sorted,500,negligible,3.9765625
almost_sorted,600,negligible,4.7578125
almost_sorted,700,negligible,5.5390625
almost_sorted,750,negligible,5.9296875
unique,50,negligible,0.4609375
unique,75,negligible,0.6640625
unique,100,negligible,0.8515625
unique,200,negligible,1.6328125
unique,300,negligible,2.4140625
unique,400,negligible,3.1953125
unique,500,negligible,3.9765625
unique,600,negligible,4.7578125
unique,700,negligible,5.5390625
unique,750,negligible,5.9296875
nonunique,50,negligible,0.4609375
nonunique,75,negligible,0.6640625
nonunique,100,negligible,0.8515625
nonunique,200,negligible,1.6328125
nonunique,300,negligible,2.4140625
nonunique,400,negligible,3.1953125
nonunique,500,negligible,3.9765625
nonunique,600,negligible,4.7578125
nonunique,700,negligible,5.5390625
nonunique,750,negligible,5.9296875
float,50,negligible,0.4609375
float,75,negligible,0.6640625
float,100,negligible,0.8515625
float,200,negligible,1.6328125
float,300,negligible,2.4140625
float,400,negligible,3.1953125
float,500,negligible,3.9765625
float,600,negligible,4.7578125
float,700,negligible,5.5390625
float,750,negligible,5.9296875
negative,50,negligible,0.4609375
negative,75,negligible,0.6640625
negative,100,negligible,0.8515625
negative,200,negligible,1.6328125
negative,300,negligible,2.4140625
negative,400,negligible,3.1953125
negative,500,negligible,3.9765625
negative,600,negligible,4.7578125
negative,700,negligible,5.5390625
negative,750,negligible,5.9296875
